"","MONTH","SITE_TYPE","Si_N","Si_avg","Si_SD","Si_se","SiTN_N","SiTN_avg","SiTN_SD","SiTN_se","SiTP_N","SiTP_avg","SiTP_SD","SiTP_se"
"1","Jan","main",1526,175.844136329263,65.9670628610395,1.68868980336058,1526,0.821257016254003,0.52738301377454,0.0135004694646277,1526,75.093116069847,62.4337025542837,1.59823936850969
"2","Jan","trib",204,181.580600906911,50.3498395596184,3.52519387846696,204,0.93843486821365,0.69986185296374,0.0490001307138032,204,80.7464155150209,58.8249269432156,4.11856868214937
"3","Feb","main",772,170.032866547795,66.816988923563,2.40479605223908,772,0.798698797621476,0.519220195733586,0.0186871437497928,772,68.0173464388007,61.238252941579,2.20401295078406
"4","Mar","trib",213,138.209877626688,54.2192668118108,3.71504294745793,213,0.706568531865704,0.483849825668933,0.0331528437800372,213,44.5507399132024,42.9248505457824,2.94116229650043
"5","Apr","main",1490,96.1922161033201,54.7326260973076,1.41792464834857,1490,0.512560238649504,0.333699510769245,0.00864494900391501,1490,24.3030851200994,19.6921818343094,0.510153303314688
"6","Apr","trib",450,116.069234268985,47.0857389391786,2.21964302007151,450,0.677169816954304,0.534799097163562,0.0252106712117865,450,33.4077458308499,28.3936253108936,1.33848833332019
"7","May","main",1003,110.342002300025,40.1648795352869,1.26822410124205,1003,0.540854428150893,0.320662582700566,0.0101250649934129,1003,28.6913191960751,22.417515607005,0.707843118458648
"8","May","trib",491,120.012240989403,47.6400344679374,2.14996465850092,491,0.681404195100835,0.626486227084583,0.0282729276397971,491,35.9431223889848,29.0463713179924,1.3108443872644
"9","Jun","trib",486,148.830600228143,49.1482142807468,2.22940827327405,486,0.765763725811775,0.641776013490254,0.0291115511520121,486,33.059902941942,24.2970456810806,1.10213637362484
"10","Jul","main",1960,189.725214636326,64.6332075322154,1.45991534488679,1960,1.31610632747857,0.993363032403848,0.02243778375577,1960,32.3538429564952,20.0299838064077,0.452431216603839
"11","Jul","trib",345,167.32899350574,58.7104963051799,3.16086686715617,345,1.09841822408598,0.704370400808953,0.0379220276140996,345,38.7691541811836,24.1336527704086,1.29931218821439
"12","Aug","main",558,184.264231151848,67.7916833950527,2.8698508002428,558,1.32837922731273,0.779761073371571,0.0330099184493315,558,26.0823291850541,16.8068835734003,0.711492116099752
"13","Aug","trib",302,156.786458327193,54.8706982794941,3.15745387914662,302,1.21623891470761,0.698575757843463,0.0401985177087665,302,42.3767590484652,29.5418450571328,1.6999421585209
"14","Sep","trib",188,165.80252197925,53.9533876612096,3.93495521624248,188,1.29227224488058,1.03514399823523,0.0754956352508394,188,40.248887644638,30.8140899075828,2.24734848119246
"15","Oct","main",2495,174.846099533944,77.8486337876204,1.55853198778643,2495,1.20710210924993,0.64013569945372,0.0128155359391974,2495,33.8449816074232,23.9530325872908,0.479540432188291
"16","Oct","trib",184,164.984596450217,59.3461228580986,4.37505422220346,184,1.14836308329534,0.748963440915154,0.0552143174085165,184,56.5430386605453,43.2400651902653,3.187699897959
"17","Nov","main",12,104.388463592665,6.83377799626187,1.97274178286197,12,0.804357318429599,0.0964916975044671,0.027854753764384,12,15.8219645914235,4.27279196070941,1.23344879435342
"18","Nov","trib",185,153.093552872794,44.1777863805729,3.24801545187339,185,1.15268450533603,1.01181636740238,0.0743902188188067,185,62.3616266778756,46.5584868770973,3.42304803346046
