"LOCATCD","Long","Lat"
"I080.2M",-90.5334622751338,39.9392350708314
"I121.2W",-90.0685091116537,40.3162167585145
"I157.8D",-89.6518184462303,40.6176426753117
"I107.2R",-90.2028741970025,40.1584898274904
"I095.2C",-90.3885543520134,40.0966208368312
"M066.4C",-89.4517718372908,37.4554635236327
"M078.0B",-89.5120656542002,37.604643523126
"M070.2A",-89.4987377341108,37.4983358775515
"M048.4M",-89.4993855597701,37.2527408357372
"M038.1J",-89.4256023141084,37.1431239112341
"M053.8B",-89.4877510049193,37.3247688050203
"M061.2C",-89.4236160047519,37.3879639437446
"M069.4C",-89.4865140408044,37.4908642021344
"M075.1C",-89.5189578484647,37.5646660216206
"M076.2C",-89.5178217723459,37.5793265762433
"M070.4C",-89.492042976231,37.5024524559804
"M070.1C",-89.4907360760181,37.4987288036767
"M041.1L",-89.4444769355169,37.1771804886425
"M038.5J",-89.4270642561568,37.1464925248921
"M033.7M",-89.3829033192997,37.090951181038
"M032.2M",-89.3826247269289,37.0717527167411
"M030.9M",-89.3886867721608,37.0584506096539
"M028.8K",-89.3607994013382,37.032299018007
"M079.3B",-89.5083545742667,37.6157050555521
"M055.9D",-89.4661804047118,37.3356036736567
"M054.2B",-89.4886646539629,37.3293727401991
"M193.2F",-90.1361603739006,38.7919435774234
"M196.9Q",-90.1128037799929,38.8335402953956
"M241.4K",-90.6831165738147,39.0047731344755
"I007.0W",-90.5471743737401,38.9669362867183
"M219.4U",-90.4549804093832,38.9600237263539
"M237.4T",-90.6740895736663,38.9517868372979
"M235.6J",-90.6587667205985,38.9251264816145
"M212.4X",-90.3329537728582,38.9387198067064
"M211.2P",-90.3241189406252,38.9279404585332
"M237.3T",-90.6739562064673,38.9516310104362
"M212.3X",-90.333455180159,38.9388844297116
"M240.9M",-90.6828960646013,39.0044534098621
"M241.3K",-90.6831085603283,39.0046648576099
"M219.5U",-90.4551127234127,38.9598734512611
"I002.0Y",-90.4674638953562,38.9675391369524
"I000.0V",-90.4656681354005,38.9674100332996
"M207.9Q",-90.2631793956226,38.9067782596462
"M554.8F",-90.3984631246442,42.2390653985562
"M556.4A",-90.4207158202062,42.2547693906959
"M582.5B",-90.6440319623957,42.5329160378634
"M497.2B",-90.3420490938164,41.5990929876427
"M511.4B",-90.2564183149929,41.7785318605725
"M550.5L",-90.3376955149312,42.2010992700033
"M530.3K",-90.1430762937514,42.0024383782887
"M529.7M",-90.136413121391,41.9932577342248
"M534.8L",-90.1629487315405,42.0635203581329
"M529.7L",-90.1409684255269,41.9928940779693
"M554.8E",-90.4041073436582,42.2320520878165
"M556.6E",-90.4183001077061,42.2604964539071
"M556.4C",-90.41989888909,42.2605324549366
"M550.4L",-90.3371672804437,42.2009879415243
"M530.2K",-90.1431470869905,42.0019358347986
"M546.5L",-90.2730470298583,42.173995363887
"M552.3L",-90.3688194416771,42.2113816164254
"M556.0E",-90.4134076093001,42.2532538926169
"M554.2C",-90.3969815502914,42.2273517717322
"M554.3D",-90.3958155178247,42.2280096969408
"M554.3C",-90.3982962290427,42.2286783958832
"M543.2L",-90.2150640509849,42.1564728616341
"M543.2M",-90.2139735148443,42.1573288890532
"M701.1B",-91.2937817894087,43.8493633459289
"M694.7L",-91.2457175123343,43.7739143346155
"M689.2A",-91.2705113026476,43.6965360110833
"M686.6J",-91.2560266688126,43.6658019401478
"M694.7M",-91.2454159630545,43.7736035792351
"M689.2B",-91.2684539124868,43.6981705565287
"M696.8I",-91.266081900275,43.7993093978068
"M702.3A",-91.3079483629982,43.8622600694321
"M691.6E",-91.2512270121408,43.7374977625532
"M701.0B",-91.2954173020503,43.8491626696448
"M685.9M",-91.246212707157,43.6612218601126
"M685.9L",-91.2467150291669,43.6618598369022
"M764.3A",-92.1004578509549,44.4121000431538
"M796.9M",-92.6089153742761,44.61157359058
"M796.9N",-92.6094864734858,44.6128629076385
"M786.2C",-92.4489192497823,44.5623177514029
"M752.8Y",-91.9238723691131,44.3231816567511
"M752.8Z",-91.9194452713988,44.3245533236603
"M738.2F",-91.8115154090653,44.1602915364419
"M761.5E",-92.0526307739201,44.3987672575955
"M760.7O",-92.040972924503,44.3890639145784
"M796.7M",-92.6016197479673,44.6113503196351
"M793.9P",-92.5666705596573,44.5996367857829
"M738.2M",-91.8089334679139,44.1618131929787
"M738.2T",-91.8072455513058,44.1636502379712
