parameter,LOCATCD,dataset,FLDNUM,mean.val,sd.val,N.val,units
DIN,AL02.3M,trib,3,3.939873846,1.665370518,325,mg/L
DIN,LM00.5M,trib,6,3.496099338,2.337350076,302,mg/L
DIN,SG16.2C,trib,6,4.51055,2.566356869,320,mg/L
DIN,M070.2A,main,5,2.39322063,1.012929103,349,mg/L
DIN,BX00.4M,trib,2,1.433847751,0.406388956,289,mg/L
DIN,MQ02.1M,trib,3,6.778060345,2.08446803,348,mg/L
DIN,I007.0W,main,4,3.820382436,1.693186967,353,mg/L
DIN,M556.4A,main,3,1.835697436,0.902572129,390,mg/L
DIN,CU11.6M,trib,4,1.171887681,0.924792611,276,mg/L
DIN,RK00.1M,trib,3,10.98205369,5.055198813,298,mg/L
DIN,I157.8D,main,6,4.027127604,1.752160007,384,mg/L
DIN,BK01.0M,trib,2,0.792638889,0.556201716,324,mg/L
DIN,LM07.2M,trib,6,3.604258065,2.396843462,341,mg/L
DIN,UI02.9M,trib,2,4.621621212,1.805249458,264,mg/L
DIN,M078.0B,main,5,2.374900538,1.024601811,372,mg/L
DIN,CC00.6M,trib,2,1.132555556,0.218312847,351,mg/L
DIN,PE01.8M,trib,4,0.576141791,0.48406609,268,mg/L
DIN,I080.2C,main,6,3.869864583,1.675670275,384,mg/L
DIN,M701.1B,main,2,1.759395833,0.970010349,432,mg/L
DIN,DC01.0M,trib,4,3.272528481,3.026791693,316,mg/L
DIN,RK03.7M,trib,3,7.774121019,2.337883453,314,mg/L
DIN,M066.3B,main,5,2.458184211,1.07557346,342,mg/L
DIN,BK14.2M,trib,2,0.846449864,0.402881136,369,mg/L
DIN,LX00.1M,trib,2,1.275679348,0.584698824,368,mg/L
DIN,VM00.1M,trib,1,3.030528205,1.239024933,390,mg/L
DIN,M202.6T,main,4,2.874943114,1.354784585,334,mg/L
DIN,CH00.1M,trib,1,0.810193798,0.446401915,387,mg/L
DIN,PI00.2M,trib,4,1.669943182,1.045684638,352,mg/L
DIN,I080.2M,main,6,3.990598383,1.747018733,371,mg/L
DIN,M764.3A,main,1,2.186748744,1.283509598,398,mg/L
DIN,HD00.9M,trib,5,0.567180921,0.528077955,304,mg/L
DIN,S000.2K,trib,6,5.040116216,2.790610409,370,mg/L
DIN,M066.4C,main,5,2.401978378,1.047371113,370,mg/L
DIN,BM00.7S,trib,5,0.734295597,0.706517518,318,mg/L
DIN,MK04.4M,trib,6,5.921253731,4.178207221,335,mg/L
DIN,WP02.6M,trib,3,5.405101124,2.905336778,356,mg/L
DIN,M241.4K,main,4,2.741366667,1.226491038,360,mg/L
DIN,CN00.1M,trib,1,4.109888601,1.368605486,386,mg/L
DIN,R000.1M,trib,2,4.558055556,1.422297744,360,mg/L
DIN,I121.2W,main,6,4.063306763,1.744652766,414,mg/L
DIN,M786.2C,main,1,2.441249364,1.317233145,393,mg/L
DINSRP,AL02.3M,trib,3,606.4263564,850.8608056,269,mol:mol
DINSRP,LM00.5M,trib,6,359.8707412,697.5701772,261,mol:mol
DINSRP,SG16.2C,trib,6,151.784184,215.971214,272,mol:mol
DINSRP,M070.2A,main,5,107.7892519,75.10511675,296,mol:mol
DINSRP,BX00.4M,trib,2,467.3327928,485.0576477,210,mol:mol
DINSRP,MQ02.1M,trib,3,935.2311818,1602.056439,293,mol:mol
DINSRP,I007.0W,main,4,102.345802,98.87910336,298,mol:mol
DINSRP,M556.4A,main,3,242.56841,459.200705,333,mol:mol
DINSRP,CU11.6M,trib,4,183.7828835,254.789848,217,mol:mol
DINSRP,RK00.1M,trib,3,2598.385266,3329.408579,228,mol:mol
DINSRP,I157.8D,main,6,88.48801866,100.8804302,318,mol:mol
DINSRP,BK01.0M,trib,2,99.34475398,248.2994157,293,mol:mol
DINSRP,LM07.2M,trib,6,401.929206,591.2679209,287,mol:mol
DINSRP,UI02.9M,trib,2,1345.652856,1715.250463,207,mol:mol
DINSRP,M078.0B,main,5,107.5583032,70.10568669,322,mol:mol
DINSRP,CC00.6M,trib,2,271.8068321,313.9700047,291,mol:mol
DINSRP,PE01.8M,trib,4,90.4875858,104.9043462,219,mol:mol
DINSRP,I080.2C,main,6,112.3039971,118.4607954,330,mol:mol
DINSRP,M701.1B,main,2,155.8123222,251.5550354,394,mol:mol
DINSRP,DC01.0M,trib,4,31.50960613,41.53683507,256,mol:mol
DINSRP,RK03.7M,trib,3,1891.11838,2176.659266,232,mol:mol
DINSRP,M066.3B,main,5,111.6095376,78.43864842,290,mol:mol
DINSRP,BK14.2M,trib,2,52.48797016,44.0190272,323,mol:mol
DINSRP,LX00.1M,trib,2,166.6855142,208.0582503,333,mol:mol
DINSRP,VM00.1M,trib,1,333.4605691,499.9086365,345,mol:mol
DINSRP,M202.6T,main,4,168.9935803,158.6871473,285,mol:mol
DINSRP,CH00.1M,trib,1,93.42069269,117.3176558,346,mol:mol
DINSRP,PI00.2M,trib,4,146.4218794,203.5027616,290,mol:mol
DINSRP,I080.2M,main,6,107.545704,110.3345043,305,mol:mol
DINSRP,M764.3A,main,1,308.1638735,576.2476422,343,mol:mol
DINSRP,HD00.9M,trib,5,70.92931435,81.6093653,254,mol:mol
DINSRP,S000.2K,trib,6,741.8982954,1032.229949,331,mol:mol
DINSRP,M066.4C,main,5,122.9492547,263.9188105,318,mol:mol
DINSRP,BM00.7S,trib,5,47.50961484,62.76939321,268,mol:mol
DINSRP,MK04.4M,trib,6,1078.428788,1391.528473,252,mol:mol
DINSRP,WP02.6M,trib,3,1103.513184,1577.877832,258,mol:mol
DINSRP,M241.4K,main,4,193.3070303,345.6603097,313,mol:mol
DINSRP,CN00.1M,trib,1,472.8953729,784.1517623,333,mol:mol
DINSRP,R000.1M,trib,2,806.0870021,829.0869629,304,mol:mol
DINSRP,I121.2W,main,6,96.08159251,99.12380366,364,mol:mol
DINSRP,M786.2C,main,1,316.4730989,592.3756855,349,mol:mol
SI,AL02.3M,trib,3,3.363371191,1.160399362,361,mg/L
SI,LM00.5M,trib,6,3.997980978,1.413098332,368,mg/L
SI,SG16.2C,trib,6,3.384243455,1.149765411,382,mg/L
SI,M070.2A,main,5,4.049460452,1.025923314,354,mg/L
SI,BX00.4M,trib,2,4.698514881,0.888112094,336,mg/L
SI,MQ02.1M,trib,3,4.49413198,1.159581368,394,mg/L
SI,I007.0W,main,4,2.713912791,1.105972521,344,mg/L
SI,M556.4A,main,3,4.10148301,1.708416015,412,mg/L
SI,CU11.6M,trib,4,3.500198777,1.163630737,327,mg/L
SI,RK00.1M,trib,3,4.160262537,1.431371471,339,mg/L
SI,I157.8D,main,6,2.536398329,1.076084603,359,mg/L
SI,BK01.0M,trib,2,3.803179803,1.74971238,406,mg/L
SI,LM07.2M,trib,6,3.965872449,1.426918444,392,mg/L
SI,UI02.9M,trib,2,4.341450746,1.445704628,335,mg/L
SI,M078.0B,main,5,4.025375,1.021367705,376,mg/L
SI,CC00.6M,trib,2,4.984525381,0.870810404,394,mg/L
SI,PE01.8M,trib,4,3.019392216,1.155579487,334,mg/L
SI,I080.2C,main,6,2.77803352,1.029649958,358,mg/L
SI,M701.1B,main,2,5.243380645,1.682226898,465,mg/L
SI,DC01.0M,trib,4,4.352538961,1.531791377,308,mg/L
SI,RK03.7M,trib,3,4.800149123,1.018446709,342,mg/L
SI,M066.3B,main,5,3.970052632,1.092050732,323,mg/L
SI,BK14.2M,trib,2,4.160267196,1.283803188,378,mg/L
SI,LX00.1M,trib,2,4.523828442,1.401013356,443,mg/L
SI,VM00.1M,trib,1,6.504525822,1.896211979,426,mg/L
SI,M202.6T,main,4,3.609245342,1.538174317,322,mg/L
SI,CH00.1M,trib,1,4.65065,1.291277242,420,mg/L
SI,PI00.2M,trib,4,3.89196817,1.260040859,377,mg/L
SI,I080.2M,main,6,2.86039823,1.076919532,339,mg/L
SI,M764.3A,main,1,6.035581281,1.872794933,406,mg/L
SI,HD00.9M,trib,5,3.94001005,1.237482616,398,mg/L
SI,S000.2K,trib,6,3.42927533,1.572120448,454,mg/L
SI,M066.4C,main,5,3.905672973,1.107729837,370,mg/L
SI,BM00.7S,trib,5,2.997985714,1.140926119,385,mg/L
SI,MK04.4M,trib,6,3.764540793,1.218211858,429,mg/L
SI,WP02.6M,trib,3,3.241315385,1.757528728,390,mg/L
SI,M241.4K,main,4,3.565493639,1.602648136,393,mg/L
SI,CN00.1M,trib,1,6.192650118,2.302321502,423,mg/L
SI,R000.1M,trib,2,5.283285417,1.17572995,480,mg/L
SI,I121.2W,main,6,2.59246247,1.124414353,413,mg/L
SI,M786.2C,main,1,5.905414458,1.692441792,415,mg/L
SiDIN,AL02.3M,trib,3,0.604151043,1.364291166,296,mol:mol
SiDIN,LM00.5M,trib,6,2.612029134,8.538602569,284,mol:mol
SiDIN,SG16.2C,trib,6,0.717812189,1.17417269,276,mol:mol
