parameter,decade,LOCATCD,dataset,FLDNUM,mean.val,sd.val,N.val,units
DIN,2010,LM00.5M,trib,6,3.034786517,2.284463183,89,mg/L
DIN,2010,LM07.2M,trib,6,3.0339375,2.36991867,96,mg/L
DIN,2010,DC01.0M,trib,4,2.663084337,2.151334437,83,mg/L
DIN,2010,RK03.7M,trib,3,6.939704545,2.296117218,88,mg/L
DIN,2010,BK14.2M,trib,2,0.839893443,0.404077908,122,mg/L
DIN,2010,LX00.1M,trib,2,1.447059406,0.559571011,101,mg/L
DIN,2010,PI00.2M,trib,4,1.47658427,1.076459779,89,mg/L
DIN,2010,HD00.9M,trib,5,0.448869048,0.351049538,84,mg/L
DIN,2010,S000.2K,trib,6,4.592590909,2.554297261,88,mg/L
DIN,2010,BM00.7S,trib,5,0.638697674,0.690462131,86,mg/L
DIN,2010,MK04.4M,trib,6,5.58278481,3.630668331,79,mg/L
DIN,2010,CN00.1M,trib,1,4.2405,1.486740482,116,mg/L
DIN,2010,R000.1M,trib,2,4.727852632,1.482919167,95,mg/L
DIN,2010,AL02.3M,trib,3,3.596682927,1.728391909,82,mg/L
DIN,2010,SG16.2C,trib,6,4.4905,2.795682658,78,mg/L
DIN,2010,BX00.4M,trib,2,1.686673684,0.423757645,95,mg/L
DIN,2010,MQ02.1M,trib,3,6.78074359,2.285817342,78,mg/L
DIN,2010,CU11.6M,trib,4,1.130894118,1.001789554,85,mg/L
DIN,2010,RK00.1M,trib,3,8.067925926,3.625698373,81,mg/L
DIN,2010,BK01.0M,trib,2,0.583287129,0.505474477,101,mg/L
DIN,2010,UI02.9M,trib,2,5.000827957,2.014513355,93,mg/L
DIN,2010,CC00.6M,trib,2,1.245262712,0.216885311,118,mg/L
DIN,2010,PE01.8M,trib,4,0.458558442,0.453011023,77,mg/L
DIN,2010,VM00.1M,trib,1,3.216546218,1.363310327,119,mg/L
DIN,2010,WP02.6M,trib,3,5.068494253,3.076751594,87,mg/L
DIN,2010,CH00.1M,trib,1,0.844623077,0.500224822,130,mg/L
DINSRP,2010,HD00.9M,trib,5,50.64533711,47.00945585,72,mol:mol
DINSRP,2010,LM00.5M,trib,6,270.2627695,296.0311294,78,mol:mol
DINSRP,2010,CU11.6M,trib,4,154.0819055,147.4478976,69,mol:mol
DINSRP,2010,MQ02.1M,trib,3,863.1598275,1780.954728,66,mol:mol
DINSRP,2010,LM07.2M,trib,6,300.4884304,341.3931323,79,mol:mol
DINSRP,2010,PE01.8M,trib,4,81.32339688,108.3505912,72,mol:mol
DINSRP,2010,DC01.0M,trib,4,32.75591231,29.98225915,57,mol:mol
DINSRP,2010,RK00.1M,trib,3,2384.899302,3264.398269,67,mol:mol
DINSRP,2010,LX00.1M,trib,2,223.1644636,239.7969984,93,mol:mol
DINSRP,2010,PI00.2M,trib,4,111.8561103,96.11366523,68,mol:mol
DINSRP,2010,S000.2K,trib,6,708.561654,914.1183288,80,mol:mol
DINSRP,2010,RK03.7M,trib,3,1960.995158,2629.721743,79,mol:mol
DINSRP,2010,MK04.4M,trib,6,1011.475142,1005.805405,71,mol:mol
DINSRP,2010,CN00.1M,trib,1,657.9349645,1029.170118,96,mol:mol
DINSRP,2010,R000.1M,trib,2,765.585576,527.305467,88,mol:mol
DINSRP,2010,SG16.2C,trib,6,90.20340827,91.52729339,53,mol:mol
DINSRP,2010,UI02.9M,trib,2,1718.248795,1876.505872,82,mol:mol
DINSRP,2010,VM00.1M,trib,1,640.3436689,766.9710071,101,mol:mol
DINSRP,2010,WP02.6M,trib,3,1020.047672,953.6967103,72,mol:mol
DINSRP,2010,AL02.3M,trib,3,514.688271,470.7857181,68,mol:mol
DINSRP,2010,BX00.4M,trib,2,469.2918719,365.9459286,88,mol:mol
DINSRP,2010,BK01.0M,trib,2,108.5164821,206.2726261,90,mol:mol
